category_name,name,api_poiName,api_poiBrand,name_ref_nrm,name_prov_nrm,location_distance_m,match,match_code,cnn_match,edit_distance_match,name_matching,cnn_name_match_score
Sports Center,tribeca sports center,tribeca sports center,[Tribeca Sports Center],tribeca center,tribeca center,230.97012,True,1,True,True,1.0,0.9998431
Automotive Dealer,eastern shore auto exchange,eastern shore auto exchange,[Eastern Shore Auto Exchange],eastern shore exchange,eastern shore exchange,68.14,True,1,True,True,1.0,0.99999994
Railway Station,hamline ave,twin city model railroad museum,[Twin City Model Railroad Museum],hamline ave,twin city model railroad museum,1802.4178,False,6,False,False,0.2399999946355819,0.046855126
Restaurant,ko sushi and grill,ko sushi grill,[Ko Sushi & Grill],ko,ko,29.538177,True,1,True,True,1.0,0.9982775
Restaurant,taqueria lerdo express,taqueria,[Taqueria],taqueria lerdo express,taqueria,509.10532,False,2,True,True,1.0,0.999804
Important Tourist Attraction,pasaje de la revolucion,pasaje de la revolucion,[Pasaje De La Revolucion],pasaje revolucion,pasaje revolucion,231.2567,True,1,True,True,1.0,0.9999899
Important Tourist Attraction,union garden,jardin de la union,[Jardin de la Unión],union garden,jardin union,4.133094,True,1,True,True,0.8299999833106995,0.9853522
Shopping Center,centro comercial interlomas,centro comercial interlomas,[Centro Comercial Interlomas],centro comercial interlomas,centro comercial interlomas,62.38095,True,1,True,True,1.0,0.99999917
Park and Recreation Area,dogs paradise,paradise beach,[Paradise Beach],dogs paradise,paradise beach,517.2751,True,1,True,True,0.7599999904632568,0.99083906
Hotel Or Motel,costa azul turquesa hotel,hotel costa azul turqueza,[Hotel Costa Azul Turqueza],costa azul turquesa,costa azul turqueza,75.30576,True,1,True,True,0.949999988079071,0.9999997
Airport,bethel,bethel airport,[Bethel Airport],bethel,bethel,375.91028,True,1,True,True,1.0,0.99996525
Airport,ephrata,ephrata municipal airport,[Ephrata Municipal Airport],ephrata,ephrata,1951.7123,True,1,True,True,1.0,0.99687463
Airport,groton new london,groton new london airport,[Groton-New London Airport],groton london,groton london,239.06584,True,1,True,True,1.0,0.99999166
Airport,minot,minot international airport,[Minot International Airport],minot,minot,916.58203,True,1,True,True,1.0,0.9985083
Airport,springfield branson,springfield branson national airport,[Springfield-Branson National Airport],springfield branson,springfield branson national,976.3909,True,1,True,True,1.0,0.99997324
School,weston elementary school,weston elementary school,[Weston Elementary School],weston elementary,weston elementary,10.6784525,True,1,True,True,1.0,0.9999977
Restaurant,the city fish,the city fish,[The City Fish],city fish,city fish,7.268606,True,1,True,True,1.0,0.9998322
Park and Recreation Area,little woods park,little woods park,[Little Woods Park],little woods,little woods,15.473371,True,1,True,True,1.0,0.99989265
Shopping Center,melrose ave shopping district,casper melrose ave,[Casper - Melrose Ave],melrose ave shopping district,casper melrose ave,625.1656,True,1,True,True,0.7599999904632568,0.9291192
Automotive Dealer,apple city auto brokers l l c,apple city auto brokers,[Apple City Auto Brokers],apple city brokers l l c,apple city brokers,212.60722,True,1,True,True,1.0,0.9999996
School,edward j hopkins elementary school,edward hopkins elementary school,[Edward Hopkins Elementary School],edward j hopkins elementary,edward hopkins elementary,50.976307,True,1,True,True,1.0,0.9999918
Sports Center,frederick indoor sports center,frederick indoor spoorts center,[Frederick Indoor Spoorts Center],frederick indoor center,frederick indoor spoorts center,46.72016,True,1,True,True,1.0,0.999674
Important Tourist Attraction,west virginia penitentiary,west virginia penitentiary,[West Virginia Penitentiary],virginia penitentiary,virginia penitentiary,96.42924,True,1,True,True,1.0,0.9998775
Hotel Or Motel,super 8 by wyndham anderson clemson area,super 8 by wyndham anderson clemson area,[Super 8 by Wyndham], super  8  by  wyndham , super  8  by  wyndham ,8.895014,True,1,True,True,1.0,0.99999946
Automotive Dealer,mark martin motors,mark martin motors,[Mark Martin Motors],mark martin,mark martin,76.376396,True,1,True,True,1.0,0.999968
Automotive Dealer,bama motors,bama motors,[Bama Motors],bama,bama,152.74722,True,1,True,True,1.0,0.99983114
Railway Station,urdaneta,urdaneta,[Urdaneta],urdaneta,urdaneta,43.694702,True,1,True,True,1.0,0.99995685
Hotel Or Motel,motel bermudas,motel bermudas,[Motel Bermudas],bermudas,bermudas,24.55088,True,1,True,True,1.0,0.99879736
Automotive Dealer,compra y venta de seminuevos team cars,compra venta de autos poncho,[Compra Venta De Autos Poncho],compra y venta seminuevos team,compra venta poncho,768.6113,False,2,True,True,0.7699999809265137,0.9559028
Restaurant,che gaucho,che gaucho,[Che Gaucho],che gaucho,che gaucho,51.895546,True,1,True,True,1.0,0.9998938
Hotel Or Motel,quinta erika,hotel quinta erika,[Hotel Quinta Erika],quinta erika,quinta erika,66.3126,True,1,True,True,1.0,0.99996483
Place of Worship,iglesia,templo bethel,[Templo Bethel],iglesia,iglesia cristiana apostolica nuevo israel,22.30989,True,1,True,True,1.0,0.9996379
Shopping Center,hyundai hermosillo,yak hermosillo,[Yak Hermosillo],hyundai hermosillo,yak hermosillo,1659.7991,True,1,True,True,0.8299999833106995,0.9983626
Hotel Or Motel,hotel jardin,hotel jardin,[Hotel Jardin],jardin,jardin,75.40916,True,1,True,True,1.0,0.99959606
Airport,beverly,beverly municipal airport,[Beverly Municipal Airport],beverly,beverly,352.69305,True,1,True,True,1.0,0.99992263
Airport,palo alto,palo alto airport of santa clara county,[Palo Alto Airport of Santa Clara County],palo alto,palo alto santa clara,2175.3723,True,1,True,True,1.0,0.9925595
Airport,pocatello,pocatello regional airport,[Pocatello Regional Airport],pocatello,pocatello,731.83997,True,1,True,True,1.0,0.9999218
Airport,roswell air center,roswell international air center,[Roswell International Air Center],roswell air center,roswell air center,1220.2362,True,1,True,True,1.0,0.99998057
Airport,tacoma narrows,tacoma narrows airport,[Tacoma Narrows Airport],tacoma narrows,tacoma narrows,217.35959,True,1,True,True,1.0,0.99999803
Restaurant,tonys italian grill,tonys italian grill,[Tony's Italian Grill],tonys,tonys,26.137457,True,1,True,True,1.0,0.999208
Shopping Center,union crossing shopping center,union crossing shopping center,[Union Crossing Shopping Center],union crossing shopping center,union crossing shopping center,104.48649,True,1,True,True,1.0,0.9999995
Automotive Dealer,mercedes benz of virginia beach a charles barker company,mercedes benz of virginia beach,[Mercedes-Benz], mercedesbenz , mercedesbenz ,29.709904,True,1,True,True,1.0,0.9999938
School,telesis preparatory academy,telesis preparatory academy,[Telesis Preparatory Academy],telesis preparatory,telesis preparatory,29.492613,True,1,True,True,1.0,0.9999999
Automotive Dealer,sunset auto center,sunset auto center,[Sunset Auto Center],sunset center,sunset center,5.037589,True,1,True,True,1.0,0.9998956
Hotel Or Motel,bestall inn,bestall inn,[Bestall Inn],bestall,bestall,7.3475623,True,1,True,True,1.0,0.9999658
Museum,the fauquier history museum at the old jail,the fauquier history museum at the old jail,[The Fauquier History Museum At The Old Jail],fauquier history at old jail,fauquier history at old jail,10.929957,True,1,True,True,1.0,1.0
Hotel Or Motel,mission motel,mission motel,[Mission Motel],mission,mission,23.68753,True,1,True,True,1.0,0.9999646
Shopping Center,palouse mall,palouse mall,[Palouse Mall],palouse mall,palouse mall,17.329826,True,1,True,True,1.0,0.9999844
Hotel Or Motel,golden eagle motel,golden eagle motel,[Golden Eagle Motel],golden eagle,golden eagle,33.78651,True,1,True,True,1.0,0.99999845
Café/Pub,cafe gala,cafe gala,[Cafe Gala],gala,gala,24.897655,True,1,True,True,1.0,0.99933594
Place of Worship,apdm ministries,gateway to heaven ministries,[Gateway to Heaven Ministries],apdm ministries,gateway to heaven ministries,529.5597,True,1,True,True,0.800000011920929,0.9537137
Camping Ground,holiday travel park,holiday travel park,[Holiday Travel Park],holiday travel park,holiday travel park,342.49115,True,1,True,True,1.0,0.9999977
Automotive Dealer,fuccillo mitsubishi,wallys mitsubishi watertown,[Mitsubishi], mitsubishi , mitsubishi ,11.637683,True,1,True,True,1.0,0.9999998
Bank,united business bank,united business bank,[United Business Bank],united,united,5.8141394,True,1,True,True,1.0,0.9961382
Shopping Center,the palms shopping center,north mountain village shopping center,[Dollar Tree],palms shopping center,north mountain village shopping center,1876.0627,True,1,True,True,0.8299999833106995,0.98828757
Shop,luigis conveniences store smoke vape shop,luigis smoke shop,[Luigis Smoke Shop],luigis conveniences smoke vape,luigis smoke,3.5368185,True,1,True,True,1.0,0.9995646
Hotel Or Motel,the breakers hotel,the breakers hotel,[The Breakers Hotel],breakers,breakers,24.630823,True,1,True,True,1.0,0.9998951
Airport,butler county,butler county regional airport,[Butler County Regional Airport],butler,butler,105.78711,True,1,True,True,1.0,0.99998194
Airport,helena,helena regional airport,[Helena Regional Airport],helena,helena,667.233,True,1,True,True,1.0,0.9999992
Airport,syracuse hancock,syracuse hancock international airport,[Syracuse Hancock International Airport],syracuse hancock,syracuse hancock,532.41644,True,1,True,True,1.0,0.9999984
Airport,wrangell,wrangell airport,[Wrangell Airport],wrangell,wrangell,193.8206,True,1,True,True,1.0,0.9999801
Airport,waterville robert lafleur,waterville robert lafleur airport,[Waterville Robert Lafleur Airport],waterville robert lafleur,waterville robert lafleur,789.8739,True,1,True,True,1.0,1.0
Restaurant,big sammys hot dogs,big sammys hot dogs,[Big Sammy's Hot Dogs],big sammys hot dogs,big sammys hot dogs,4.4935884,True,1,True,True,1.0,0.99999905
Museum,negro leagues baseball museum,negro leagues baseball museum,[Negro Leagues Baseball Museum],negro leagues baseball,negro leagues baseball,4.4839373,True,1,True,True,1.0,0.9999999
School,elizabeth avenue school,elizabeth avenue school,[Elizabeth Avenue School],elizabeth avenue,elizabeth avenue,158.5828,True,1,True,True,1.0,0.9999962
Restaurant,hops thyme,hops thyme,[Hops & Thyme],hops thyme,hops thyme,3.6933203,True,1,True,True,1.0,0.9999983
Railway Station,lincoln cypress,lincoln cypress station,[Lincoln/Cypress Station],lincoln cypress,lincoln cypress,29.411205,True,1,True,True,1.0,0.9999904
Bank,fulton bank,fulton bank na,"[Fulton Bank, Na]",fulton,fulton na,177.51363,True,1,True,True,1.0,0.9991176
Park and Recreation Area,badlands scenic area,badlands scenic area,[Badlands Scenic Area],badlands scenic area,badlands scenic area,0.0,True,1,True,True,1.0,0.9999991
Market,oak barrel jerky,oak barrel jerky,[Oak Barrel Jerky],oak barrel jerky,oak barrel jerky,14.30223,True,1,True,True,1.0,0.9999648
Restaurant,xl california burger company,xl california charbroiled burger company,[Xl California Charbroiled Burger Company],xl california company,xl california charbroiled company,5.6931005,True,1,True,True,1.0,0.9999807
Shopping Center,international drive value center,international drive value center,[International Drive Value Center],international drive value center,international drive value center,45.061462,True,1,True,True,1.0,0.9999982
Railway Station,garrett park station,garrett park,[Garrett Park],garrett park,garrett park,6.791169,True,1,True,True,1.0,0.9998754
Automotive Dealer,logic auto sales,logic auto sales,[Logic Auto Sales],logic sales,logic sales,50.827038,True,1,True,True,1.0,0.99986285
Hotel Or Motel,sleep inn suites of lancaster county,sleep inn lancaster county,[Sleep Inn], sleep  inn , sleep  inn ,73.11478,True,1,True,True,1.0,0.99951017
Shopping Center,millenia plaza,mellenia plaza,[Mellenia Plaza],millenia plaza,mellenia plaza,90.773575,True,1,True,True,0.9300000071525574,0.9993762
Beach,point pleasant beach,point pleasant beach,[Point Pleasant Beach],point pleasant,point pleasant,45.44876,True,1,True,True,1.0,0.999982
Restaurant,chicken basket wheaton,chicken basket wheaton,[Chicken Basket Wheaton],chicken basket wheaton,chicken basket wheaton,2.1510453,True,1,True,True,1.0,1.0
Market,lao food market,lao food market,[Lao Food Market],lao food,lao food,16.023348,True,1,True,True,1.0,0.99928844
School,arcola elementary school,arcola elementary school,[Arcola Elementary School],arcola elementary,arcola elementary,40.990574,True,1,True,True,1.0,0.9999856
Shop,d m tobacco,d m tobacco,[D & M Tobacco],d m tobacco,d m tobacco,95.785255,True,1,True,True,1.0,0.999992
Sports Center,branchburg sports complex,branchburg sports complex,[Branchburg Sports Complex],branchburg complex,branchburg complex,272.59195,True,1,True,True,1.0,0.99999976
Railway Station,grant city,grant city station,[Grant City Station],grant city,grant city,25.65744,True,1,True,True,1.0,0.9991932
School,makakilo elementary school,makakilo elementary school,[Makakilo Elementary School],makakilo elementary,makakilo elementary,62.172226,True,1,True,True,1.0,0.99997246
Hotel Or Motel,quality inn schaumburg chicago,quality inn schaumburg chicago,[Quality Inn], quality  inn , quality  inn ,1.8099078,True,1,True,True,1.0,0.99999493
Important Tourist Attraction,national palace,national palace,[National Palace],national palace,national palace,25.386044,True,1,True,True,1.0,0.99997234
Sports Center,calas fitnes center,calas fitness center,[Calas Fitness Center],calas fitnes center,calas fitness center,2.9193976,True,1,True,True,0.9700000286102296,0.9999654
Hotel Or Motel,blu hotel suites,blu hotel suites,[Blu Hotel & Suites],blu,blu,21.55463,True,1,True,True,1.0,0.99965805
Bank,bancoppel,bancoppel,[Banco de Mexico],bancoppel,bancoppel,838.6719,False,2,True,True,1.0,0.9999908
Market,mercadito san cristobal,dulceria san cristobal,[Dulcería San Cristóbal],mercadito san cristobal,dulceria san cristobal,365.16315,True,1,True,True,0.7599999904632568,0.99996513
Hotel Or Motel,motel la conquista,motel la conquista,[Motel La Conquista],conquista,conquista,38.143,True,1,True,True,1.0,0.99986637
Museum,museo jumex,museo jumex,[Museo Jumex],jumex,jumex,38.413914,True,1,True,True,1.0,0.99984497
Restaurant,quince,quince,[Quince],quince,quince,4.1335115,True,1,True,True,1.0,0.999941
Restaurant,los alcatraces,cocina los alcatraces,[Cocina Los Alcatraces],alcatraces,cocina alcatraces,5.2412577,True,1,True,True,1.0,0.99988395
Airport,bert mooney,bert mooney airport,[Bert Mooney Airport],bert mooney,bert mooney,285.13727,True,1,True,True,1.0,0.9999004
Airport,eagle,eagle airport,[Eagle Airport],eagle,eagle,2268.6116,True,1,True,True,1.0,0.99981105
Airport,marin county,gnoss field,[Gnoss Field],gnoss,gnoss field,164.14998,True,1,True,True,1.0,0.9964002
Airport,ponca city,ponca city regional airport,[Ponca City Regional Airport],ponca city,ponca city,168.3944,True,1,True,True,1.0,0.9983269
Airport,safford,safford regional airport,[Safford Regional Airport],safford,safford,324.77814,True,1,True,True,1.0,0.9978774
Restaurant,taco tico,taco tico,[Taco Tico],taco tico,taco tico,8.980853,True,1,True,True,1.0,0.9992946
Railway Station,plymouth,plymouth station conrail railroad,[Plymouth Station Conrail Railroad],plymouth,plymouth conrail railroad,337.0782,False,2,True,True,1.0,0.99337393
Camping Ground,umpqua dunes rv park,umpqua dunes rv park,[Umpqua Dunes Rv Park],umpqua dunes rv park,umpqua dunes rv park,0.0,True,1,True,True,1.0,0.9999995
Place of Worship,greater life worship center,greater life worship center,[Greater Life Worship Center],greater life worship center,greater life worship center,428.2391,True,1,True,True,1.0,0.9999997
Automotive Dealer,bethlehem auto sales llc,bethlehem auto sales,[Bethlehem Auto Sales],bethlehem sales,bethlehem sales,6.7048936,True,1,True,True,1.0,0.9999992
Place of Worship,the church of jesus christ of latter day saints,church of jesus christ of latter day saints,[Church of Jesus Christ of Latter-Day Saints],jesus christ latter day saints,jesus christ latter day saints,1.0682333,True,1,True,True,1.0,1.0
Camping Ground,cool breeze rv camp,cool breeze rv camp,[Cool Breeze Rv Camp],cool breeze rv camp,cool breeze rv camp,509.5822,True,1,True,True,1.0,0.9999991
Restaurant,manjares de mexico,manjares de mexico,[Manjares De Mexico],manjares mexico,manjares mexico,17.555487,True,1,True,True,1.0,0.99977714
Beach,pacific beach,the promenade at pacific beach,[The Promenade At Pacific Beach],pacific,promenade at pacific,525.6138,True,1,True,True,1.0,0.99427104
Museum,salem historical museum,salem museum,[Salem Museum],salem historical,salem,41.933468,True,1,True,True,1.0,0.9995064
Bank,first hawaiian bank waianae branch,first hawaiian bank,[First Hawaiian Bank], first  hawaiian  bank , first  hawaiian  bank ,7.872411,True,1,True,True,1.0,0.99998295
Café/Pub,thirsty mind coffee and wine bar,thirsty mind coffee and wine bar,[Thirsty Mind Coffee And Wine Bar],thirsty mind wine,thirsty mind wine,12.2937,True,1,True,True,1.0,0.9999751
Automotive Dealer,hudsons auto sales services,hudsons auto sales service,[Hudson's Auto Sales & Service],hudsons sales,hudsons sales service,17.741543,True,1,True,True,1.0,0.9999586
Hotel Or Motel,relax inn motel,relax inn motel,[Relax Inn Motel],relax,relax,15.752553,True,1,True,True,1.0,0.9999787
Park and Recreation Area,steinhaugen recreation area,steinhaugen county park,[Steinhaugen County Park],steinhaugen recreation area,steinhaugen county,520.99054,True,1,True,True,0.7599999904632568,0.99910253
Important Tourist Attraction,summit one vanderbilt,summit one vanderbilt,[Summit One Vanderbilt],summit vanderbilt,summit vanderbilt,0.0,True,1,True,True,1.0,0.9999992
School,paradise valley engineering academy,paradise valley elementary school,[Paradise Valley Elementary School],paradise valley engineering,paradise valley elementary,7.6650777,True,1,True,True,0.75,0.99975187
Restaurant,villa monte pizza,villa monte restaurant,[Villa Monte Restaurant],villa monte,villa monte,10.857127,True,1,True,True,1.0,0.9998458
Market,pauls liquor market,pauls liquor market,[Paul's Liquor & Market],pauls liquor,pauls liquor,28.511652,True,1,True,True,1.0,0.99999255
Museum,brentsville courthouse historic centre,brentsville courthouse historic centre,[Brentsville Courthouse Historic Centre],brentsville courthouse historic centre,brentsville courthouse historic centre,166.02855,True,1,True,True,1.0,1.0
Hotel Or Motel,extended stay america chicago woodfield mall,extended stay deluxe,[Extended Stay Deluxe], extended  stay  america , extended  stay  deluxe ,6.9643917,True,1,True,True,0.7900000214576721,0.9980848
Restaurant,the fat greek mediterranean bistro,the fat greek,[The Fat Greek],fat greek mediterranean,fat greek,74.66776,True,1,True,True,1.0,0.9999393
Airport,duluth,duluth international airport,[Duluth International Airport],duluth,duluth,1120.9945,True,1,True,True,1.0,0.99965835
Airport,park township,park township airport,[Park Township Airport],park township,park township,3830.5469,True,1,True,True,1.0,0.99997514
Airport,lea county,lea county regional airport,[Lea County Regional Airport],lea,lea,1882.6395,True,1,True,True,1.0,0.9984127
Airport,mesa del rey,mesa del rey airport,[Mesa del Rey Airport],mesa rey,mesa rey,1713.1239,True,1,True,True,1.0,0.9999029
Airport,maury county,maury county airport,[Maury County Airport],maury,maury,235.65178,True,1,True,True,1.0,0.98482466
Airport,northeast philadelphia,northeast philadelphia airport,[Northeast Philadelphia Airport],northeast philadelphia,northeast philadelphia,1025.2478,True,1,True,True,1.0,0.9999845
Airport,northwest arkansas,northwest arkansas regional airport,[Northwest Arkansas Regional Airport],northwest arkansas,northwest arkansas,1092.895,True,1,True,True,1.0,0.99999887
Hotel Or Motel,plaza hotel,plaza hotel,[Plaza Hotel],plaza,plaza,13.617277,True,1,True,True,1.0,0.9980886
Restaurant,mariscos lagunas mexican restaurant,mariscos lagunas mexican restaurant,[Mariscos Lagunas Mexican Restaurant],mariscos lagunas mexican,mariscos lagunas mexican,27.083296,True,1,True,True,1.0,0.99999976
Market,zoom in market,zoom in market,[Zoom In Market],zoom in,zoom in,9.021317,True,1,True,True,1.0,0.9994072
Museum,kelsey museum of archaeology,kelsey museum of archaeology,[Kelsey Museum Of Archaeology],kelsey archaeology,kelsey archaeology,47.23155,True,1,True,True,1.0,0.9999985
Hotel Or Motel,the inn at schofield,inn at schofield,[Inn At Schofield],at schofield,at schofield,72.63098,True,1,True,True,1.0,0.99982965
Important Tourist Attraction,horace alley murals,balmy alley murals,[Balmy Alley Murals],horace alley murals,balmy alley murals,235.89423,True,1,True,True,0.800000011920929,0.9994815
Shopping Center,center pointe plaza,center point assoc,[Center Point Assoc],center pointe plaza,center point assoc,134.27666,True,1,True,True,0.7599999904632568,0.93585145
Beach,ulua beach park,ulua beach,[Ulua Beach],ulua park,ulua,66.19094,True,1,True,True,1.0,0.9963964
Hotel Or Motel,tower motel long beach,the courtyards in long beach,[The Courtyards In Long Beach],tower long beach,courtyards in long beach,832.7752,False,2,True,True,0.7699999809265137,0.98188716
Park and Recreation Area,leblond playground,leblond park,[Leblond Park],leblond playground,leblond,135.07922,True,1,True,True,1.0,0.9986248
Bank,first convenience bank,first convenience bank,[First Convenience Bank], first  convenience  bank , first  convenience  bank ,163.86101,True,1,True,True,1.0,0.9999971
Automotive Dealer,affordable auto,affordable auto,[Affordable Auto],affordable,affordable,1.1108099,True,1,True,True,1.0,0.99999225
Market,whole foods market,whole foods market corporate offices,[Whole Foods Market], whole  foods  market , whole  foods  market ,705.4989,True,1,True,True,1.0,0.99999434
Shopping Center,jupiter square,jupiter square,[Jupiter Square],jupiter square,jupiter square,71.897804,True,1,True,True,1.0,0.99999666
Automotive Dealer,riverview auto sales,riverview auto sales,[Riverview Auto Sales],riverview sales,riverview sales,6.2225823,True,1,True,True,1.0,0.99997413
Museum,capitol exhibit services inc,capitol,[Capitol],capitol exhibit,capitol,61.721962,True,1,True,True,1.0,0.99997944
Amusement Park,santas village amusement water park,santas village azoosment park,[Santa's Village AZoosment Park],santas village amusement water park,santas village amusement park,96.72848,True,1,True,True,1.0,1.0
Museum,1897 poe house,1897 poe house museum,[1897 Poe House Museum],1897 poe house,1897 poe house,1.2725267,True,1,True,True,1.0,0.9999969
Bank,chase bank,chase carson,[Chase], chase , chase ,0.0,True,1,True,True,1.0,0.9998831
Restaurant,big bowl schaumburg,big bowl schaumburg,[Big Bowl Schaumburg],big bowl schaumburg,big bowl schaumburg,3.0381718,True,1,True,True,1.0,0.99999976
School,v a burk horizon sw high school,burk horizon southwest sunset high schl,[Burk Horizon Southwest Sunset High Schl],v a burk horizon sw high,burk high,0.0,True,1,True,True,1.0,0.99875927
Bank,chase bank,jpmorgan chase bank na,[Chase], chase , chase ,27.043072,True,1,True,True,1.0,0.9998831
Restaurant,grassburger west side albuquerque,grassburger,[Grassburger],grassburger side albuquerque,grassburger,117.95646,True,1,True,True,1.0,0.99895865
Airport,bahias de huatulco,aeropuerto internacional de bahias de huatulco,[Aeropuerto Internacional de Bahías de Huatulco],bahias huatulco,bahias huatulco,544.33044,True,1,True,True,1.0,0.99999684
Airport,fort valley federal,aeropuerto internacional de los mochis,[Aeropuerto Internacional de Los Mochis],fort valley federal,federal valle fuerte valle fuerte,530.13873,True,1,True,True,0.8700000047683716,0.99992365
Important Tourist Attraction,aqui huatulco,yo amo huatulco,[Yo Amo Huatulco],aqui huatulco,yo amo huatulco,767.99567,True,1,True,True,0.7599999904632568,0.9751739
Museum,museo recinto de la reforma,museo recinto de la reforma,[Museo Recinto de la Reforma],recinto reforma,recinto reforma,15.280292,True,1,True,True,1.0,0.9991861
Shopping Center,centro comercial espacio aguascalientes,pasteles de aguascalientes,[Pasteles De Aguascalientes],centro comercial espacio aguascalientes,pasteles aguascalientes,678.3797,True,1,True,True,0.7599999904632568,0.9986905
Restaurant,nachos aby,nachos kenia,[Nachos Kenia],nachos aby,nachos kenia,636.4512,False,2,True,True,0.75,0.9781459
Restaurant,antojitos la bendicion,antojitos sin mbre,[Antojitos Sin Mbre],antojitos bendicion,antojitos sin mbre,220.92754,False,2,True,True,0.7599999904632568,0.96929824
Park and Recreation Area,parque,parque arrecifes,[Parque Arrecifes],parque,parque arrecifes,950.5082,True,1,True,True,1.0,0.99987566
Important Tourist Attraction,playa el tejon,playa el tejon,[Playa El Tejón],playa el tejon,playa el tejon,8.435431,True,1,True,True,1.0,0.99990016
Airport,general pedro j mendez,aeropuerto internacional de ciudad victoria,[Aeropuerto Internacional de Ciudad Victoria],ciudad victoria,ciudad victoria,916.0553,True,1,True,True,1.0,0.9999657
Restaurant,makito japanese and thai restaurant,makito japanese and thai restaurant,[Makito Japanese And Thai Restaurant],makito japanese thai,makito japanese thai,24.027182,True,1,True,True,1.0,0.9999976
Sports Center,sport center,sport center,[Sport Center],sport center,sport center,9.032097,True,1,True,True,1.0,0.9985239
Restaurant,barbacoa los gemelos,barbacoa casa diaz,[Barbacoa Casa Diaz],barbacoa gemelos,barbacoa diaz,821.50574,False,2,True,True,0.7599999904632568,0.98165756
Restaurant,restaurant flamingos,restaurante flamingos,[Restaurante Flamingos],flamingos,flamingos,165.54915,True,1,True,True,1.0,0.99983406
Automotive Dealer,autos acapulco s a de c v,comercializadora de filtros ylubricantes de acapulco s a de c v,[Comercializadora De Filtros Ylubricantes De Acapulco S A De C V],acapulco s a c v,comercializadora filtros ylubricantes acapulco s a c v,1542.2784,False,2,True,True,1.0,0.9992936
Restaurant,restaurante el guero suc heroica,restaurante el guero,[Restaurante El Güero],el guero suc heroica,el guero,41.722607,True,1,True,True,1.0,0.9995556
Bank,famsa tecamac banco,banco ahorro famsa tecamac villas del real,[Banco Ahorro Famsa Tecamac Villas del Real],famsa tecamac,ahorro famsa tecamac villas real,63.49992,True,1,True,True,1.0,0.9979816
Sports Center,sport city leon,sport city leon,[Sport City],sport city leon,sport city leon,55.211437,True,1,True,True,1.0,0.9998832
Museum,plaza de la constitucion,museo de las constituciones,[Museo de las Constituciones],plaza constitucion,constituciones,694.3876,True,1,True,True,0.75,0.98008657
Airport,raleigh county memorial,raleigh county memorial airport,[Raleigh County Memorial Airport],raleigh memorial,raleigh memorial,428.30582,True,1,True,True,1.0,0.99985325
Airport,gambell,gambell airport,[Gambell Airport],gambell,gambell,991.4163,True,1,True,True,1.0,0.9999684
Place of Worship,the church of jesus christ of latter day saints,church of jesus christ of latter day saints,[Church of Jesus Christ of Latter-Day Saints],jesus christ latter day saints,jesus christ latter day saints,26.308413,True,1,True,True,1.0,1.0
Restaurant,sushi mocorito lonchera,sushi mocorito lonchera,[Sushi Mocorito Lonchera],mocorito lonchera,mocorito lonchera,1107.2648,False,2,True,True,1.0,0.99993944
Museum,syracuse regional museum,syracuse regional museum,[Syracuse Regional Museum],syracuse regional,syracuse regional,46.25502,True,1,True,True,1.0,0.9999748
Sports Center,old town sport health,sport health old town,[Sport&Health Old Town],old town sport health,sport health old town,21.464773,True,1,True,True,1.0,0.99998224
Shopping Center,park lane shopping center,park lane shopping center,[Park Lane Shopping Center],park lane shopping center,park lane shopping center,52.832115,True,1,True,True,1.0,0.99999887
Sports Center,foro sports club,foro sports club,[Foro Sports Club],foro club,foro club,8.948676,True,1,True,True,1.0,0.9998751
Automotive Dealer,puklich chevrolet,puklich chevrolet,[Chevrolet], chevrolet , chevrolet ,86.28753,True,1,True,True,1.0,0.9999925
Museum,the fayetteville area transportation and local history museum,fayetteville area transportation and local history museum,[Fayetteville Area Transportation And Local History Museum],fayetteville area transportation local history,fayetteville area transportation local history,6.911619,True,1,True,True,1.0,1.0
Shopping Center,bergen town center,the outlets at bergen town center,[H&M],bergen town center,outlets at bergen town center,45.959206,True,1,True,True,1.0,0.9998733
Hotel Or Motel,driftwood motel,driftwood motel,[Driftwood Motel],driftwood,driftwood,27.055695,True,1,True,True,1.0,0.9998128
Market,oriental market,oriental market,[Oriental Market],oriental,oriental,114.415634,True,1,True,True,1.0,0.9974484
Market,el pecas meat market,el pecas meat market,[El Pecas Meat Market],el pecas meat,el pecas meat,28.148243,True,1,True,True,1.0,0.9999824
Place of Worship,kingdom in the valley christian church,kingdom in the valley christian church,[Kingdom In The Valley Christian Church],kingdom in valley christian,kingdom in valley christian,26.64491,True,1,True,True,1.0,0.9999999
Restaurant,twenty 20 taphouse somerset,twenty 20 taphouse,[Twenty/20 Taphouse],twenty 20 taphouse somerset,twenty 20 taphouse,26.604515,True,1,True,True,1.0,0.99999887
Market,del amo market,del amo market,[Del Amo Market],amo,amo,1.4091715,True,1,True,True,1.0,0.9920929
Restaurant,el paraiso mexican,el paraiso family mexican restaurant,[El Paraiso Family Mexican Restaurant],el paraiso mexican,el paraiso family mexican,12.268006,True,1,True,True,1.0,0.9997178
Automotive Dealer,smart collision center and car sales,smart chevrolet,[Chevrolet], smart , smart  chevrolet ,98.3568,True,1,True,True,1.0,0.99731815
Beach,lovers beach,playa de los amantes,[Playa de los Amantes],lovers,lovers,81.99292,True,1,True,True,1.0,0.99991065
